"democracy","econ_growth","allies","contig","cprt","trade","contdisp","mid"
-1,0.133000004291534,1,1,0.0265000009536743,0.00039999998989515,1,1
-0.7,0.423999977111816,0,0,8.60840026855469,0,0,0
-0.7,-0.105999994277954,1,1,0.0198000001907349,0,0,0
0.7,-0.105999994277954,0,0,0.9175,0.000199999994947575,0,0
-1,-0.137000000476837,1,1,0.025,0.000199999994947575,0,0
-0.8,-0.046000000834465,0,0,17.8569995117188,0,0,0
-0.7,0.430999994277954,1,1,0.530499992370606,0.00139999995008111,0,0
-0.9,0.386999988555908,0,1,0.487400016784668,0.00260000000707805,0,1
-0.7,0.0970000028610229,0,0,0.472200012207031,0.000199999994947575,1,1
-0.9,0.247000002861023,0,0,0.222299995422363,0,1,1
-1,0.178999996185303,1,1,0.0279999995231628,0.000199999994947575,1,1
-0.7,0.233999991416931,0,0,0.365,0.00039999998989515,1,1
-0.9,0.0180000007152557,1,0,4.12429992675781,0.000199999994947575,0,0
-0.9,-0.0479999989271164,1,0,0.088100004196167,0,0,0
-0.6,-1.49499998092651,0,0,0.187099990844727,0.00219999998807907,1,1
-0.7,0.492999982833862,0,0,5.34950012207031,0,0,0
-0.9,0.327999997138977,0,0,0.167000007629395,0,1,1
-0.9,-1.53900003433228,0,1,0.01,0,1,1
-0.7,0.249000000953674,0,0,0.0310999989509583,0.00380000006407499,0,0
-0.8,0.155999994277954,0,0,0.159399995803833,0,0,0
-0.8,0.151999998092651,0,0,0.0154999995231628,0,1,1
-0.7,0.103999996185303,0,0,0.223999996185303,0.00039999998989515,0,0
-0.9,-1.06800003051758,1,1,0.013400000333786,0,1,1
-0.8,-0.43600001335144,0,0,9.43799987792969,0,0,0
-0.6,0.205999994277954,1,1,0.388899993896484,0.00300000002607703,0,0
0.2,-0.05,0,1,0.0129999995231628,0.00100000004749745,0,0
-0.3,-0.230999994277954,1,1,0.0311999988555908,0.00219999998807907,0,0
-0.7,-0.907999992370605,0,1,1.05190002441406,0,0,0
-0.7,0.201999998092651,0,0,66.299599609375,0,0,0
-0.9,0.678000020980835,1,1,0.0129999995231628,0,1,1
-0.7,-1.20799999237061,0,0,0.377200012207031,0.000600000028498471,0,0
-0.6,0.00599999986588955,0,0,0.0279999995231628,0.00039999998989515,1,1
-0.7,0.0970000028610229,0,0,0.0640000009536743,0.00100000004749745,0,0
-0.1,-1.54499998092651,0,0,7.56469970703125,0,0,0
-0.8,0.276999998092651,0,0,0.034300000667572,0,0,0
-0.7,0.239000010490417,0,0,6.60580017089844,0.0007999999797903,0,0
-0.9,-0.985000038146973,0,1,0.0347000002861023,0,1,1
-0.7,-0.296000003814697,0,0,12.7569995117187,0,0,0
-0.7,0.0689999997615814,0,1,0.0253999996185303,0.0015999999595806,0,1
0.8,0.191999995708466,0,0,0.100500001907349,0.00499999988824129,0,0
-0.7,0.187000000476837,0,0,0.555099983215332,0,1,1
-0.7,-0.376999998092651,0,1,0.0186000001430511,0.00039999998989515,0,0
0.8,-0.907999992370605,0,0,32.17919921875,0,0,0
-0.9,-0.771999979019165,1,1,0.0757000017166138,0,1,1
-0.9,0.317000007629395,0,1,1.53850006103516,0,0,0
-0.9,0.721999979019165,0,1,0.116700000762939,0.000199999994947575,0,0
-0.9,0.298000001907349,1,0,1.36059997558594,0.0007999999797903,0,0
